abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),177,12.0,177,18th Street Brewery,Gary, IN
0.099,92.0,1036,Lower De Boom,American Barleywine,368,8.4,368,21st Amendment Brewery,San Francisco, CA
0.079,45.0,1024,Fireside Chat,Winter Warmer,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.044,42.0,876,Bitter American,American Pale Ale (APA),368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.049,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.049,17.0,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.049,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.07,70.0,799,21st Amendment IPA (2006),American IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.0969999999999999,94.0,432,Hop Crisis,American Double / Imperial IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.044,42.0,353,Bitter American (2011),American Pale Ale (APA),368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.079,45.0,321,Fireside Chat (2010),Winter Warmer,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.068,65.0,173,Back in Black,American Black Ale,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.083,35.0,11,Monk's Blood,Belgian Dark Ale,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.07,65.0,10,Brew Free! or Die IPA,American IPA,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.049,17.0,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0,368,21st Amendment Brewery,San Francisco, CA
0.07,82.0,2519,Bimini Twist,American IPA,67,12.0,67,3 Daughters Brewing,St Petersburg, FL
0.035,11.0,2545,Passion Fruit Prussia,Berliner Weissbier,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO
0.045,18.0,2544,Send Help,American Blonde Ale,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO
0.05,28.0,1870,Contact High,American Pale Wheat Ale,60,12.0,60,4 Hands Brewing Company,Saint Louis, MO
0.05,45.0,2602,Citrafest,American IPA,27,16.0,27,450 North Brewing Company,Columbus, IN
0.069,65.0,2219,Scarecrow,American IPA,27,16.0,27,450 North Brewing Company,Columbus, IN
0.09,50.0,2218,Ironman,English Strong Ale,27,16.0,27,450 North Brewing Company,Columbus, IN
0.046,15.0,2217,Honey Kolsch,Kölsch,27,16.0,27,450 North Brewing Company,Columbus, IN
0.052,18.0,2216,Copperhead Amber,Belgian Dark Ale,27,16.0,27,450 North Brewing Company,Columbus, IN
0.059,75.0,972,Rude Parrot IPA,American IPA,481,16.0,481,7 Seas Brewing Company,Gig Harbor, WA
0.054,30.0,866,British Pale Ale (2010),English Pale Ale,481,16.0,481,7 Seas Brewing Company,Gig Harbor, WA
0.054,30.0,48,British Pale Ale,English Pale Ale,481,16.0,481,7 Seas Brewing Company,Gig Harbor, WA
0.084,82.0,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0,481,7 Seas Brewing Company,Gig Harbor, WA
0.055,26.0,1165,Colorado Native,American Amber / Red Lager,462,12.0,462,AC Golden Brewing Company,Golden, CO
0.055,26.0,431,Colorado Native (2011),American Amber / Red Lager,462,12.0,462,AC Golden Brewing Company,Golden, CO
0.065,52.0,516,Jockamo IPA,American IPA,533,12.0,533,Abita Brewing Company,Abita Springs, LA
0.042,13.0,515,Purple Haze,Fruit / Vegetable Beer,533,12.0,533,Abita Brewing Company,Abita Springs, LA
0.045,17.0,514,Abita Amber,American Amber / Red Lager,533,12.0,533,Abita Brewing Company,Abita Springs, LA
0.0819999999999999,68.0,2540,Citra Ass Down,American IPA,62,16.0,62,Against The Grain Brewery,Louisville, KY
0.05,20.0,2539,The Brown Note,American Brown Ale,62,16.0,62,Against The Grain Brewery,Louisville, KY
0.08,68.0,2686,Citra Ass Down,American Double / Imperial IPA,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.125,80.0,2685,London Balling,English Barleywine,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.077,25.0,2684,35 K,Milk / Sweet Stout,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.042,42.0,2683,A Beer,American Pale Ale (APA),1,16.0,1,Against the Grain Brewery,Louisville, KY
0.05,25.0,2682,Rules are Rules,German Pilsener,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.055,17.0,2679,Bloody Show,American Pilsner,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.051,38.0,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16.0,1,Against the Grain Brewery,Louisville, KY
0.06,65.0,2675,Pile of Face,American IPA,1,16.0,1,Against the Grain Brewery,Louisville, KY
